shortname,fullname,category_path,startdate,enddate,visible
UCMN-S22526-IT-FRE-02681,Free Elective 3,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S12526-LIT101-20804,Literatures of the World,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-IT-CPSTONE41-92520,Capstone Project 1,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-CC-PROFIS10-25059,Professional Issues in Computing,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-IT-EL-19087,IT Elective 3,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S22526-CC-PRACT40-45379,Practicum,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-IT-CPSTONE42-37705,Capstone Project 2,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S02526-ELPHP1-06022,PHP Programming Module 1,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELPHP2-88890,PHP Programming Module 2,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELDNET1-14002,.NET Programming Module 1,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELDNET2-96805,.NET Programming Module 2,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELDROID1-24491,ANDROID Programming Module 1,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELDROID2-35229,ANDROID Programming Module 2,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELCCNA1-67545,"Enterprise Networking, Security and Automation",UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELCCNA2-77996,Infrastructure Automation,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELEMSYS-84349,Embedded Systems & IoT,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELAI-41929,Fundamentals of Artificial Intelligence,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELASI-89105,ASI-UC Jumpstart Program,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELBIZAN1-78200,Business Analytics Module 1,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELBIZAN2-44031,Business Analytics Module 2,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-ELPYTHON-19220,Python Programming,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FREDTHINK-06040,Principles of Design Thinking,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FREFORLAN-25752,Foreign Language,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FREIP-85153,Introduction to Intellectual Property,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FRETRNDS-36268,Emerging Technologies in ICT,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FREPM-46968,Introduction to Project Management,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FRECIS-54666,Cloud Infrastructure Services,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FREISM-80164,Information Storage Management,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FREDX-33399,Introduction to Digital Transformation,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FRELEAN-82740,Lean Startup Methodology,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FREKYI-90849,Know-Your-Industry/Corporate Readiness,UCMN / S02526 / CCS / BSIT,,,1
UCMN-S02526-FRECERT-53157,Professional Certifications Review,UCMN / S02526 / CCS / BSIT,,,1
