Full Course Name,Moodle Category,Total Units,Type,Campus,Semester,Start Date,End Date,Department
CS-FRE - Free Elective 3,BSCS Year 4,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
ELDNET1 - .NET Programming Module 1,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELDNET2 - .NET Programming Module 2,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELJAVA - Advanced Java Programming,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELDROID1 - ANDROID Programming Module 1,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELDROID2 - ANDROID Programming Module 2,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELEMSYS - Embedded Systems & IoT,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELIM - Introduction to Imaging & Multimedia,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
EL3D - 3D Game Development,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELNEURAL - Neural Networks & Deep Learning,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELASI - ASI-UC Near-Hire Program,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELPYTHON - Python Programming,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREDTHINK - Principles of Design Thinking,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREFORLAN - Foreign Language,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREIP - Introduction to Intellectual Property,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRETRNDS - Emerging Technologies in ICT,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRECD - Introduction to Compiler Design,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRECLOUD - Distributed Systems & Cloud Computing,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREAI - Fundamentals of Artificial Intelligence,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREAI2 - Advanced Artificial Intelligence,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRECERT - Professional Certifications Review,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRETECHNO - Technopreneurship,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
