shortname,fullname,category_path,startdate,enddate,visible
IT-CPSTONE41,Capstone Project 1,todo,todo,todo,1
CC-PROFIS10,Professional Issues in Computing,todo,todo,todo,1
IT-EL,IT Elective 3,todo,todo,todo,1
CC-PRACT40,Practicum,todo,todo,todo,1
IT-CPSTONE42,Capstone Project 2,todo,todo,todo,1
ELDNET1,.NET Programming Module 1,todo,todo,todo,1
ELDNET2,.NET Programming Module 2,todo,todo,todo,1
ELJAVA,Advanced Java Programming,todo,todo,todo,1
ELDROID1,ANDROID Programming Module 1,todo,todo,todo,1
ELDROID2,ANDROID Programming Module 2,todo,todo,todo,1
ELEMSYS,Embedded Systems & IoT,todo,todo,todo,1
ELIM,Introduction to Imaging & Multimedia,todo,todo,todo,1
EL3D,3D Game Development,todo,todo,todo,1
ELNEURAL,Neural Networks & Deep Learning,todo,todo,todo,1
ELASI,ASI-UC Near-Hire Program,todo,todo,todo,1
ELPYTHON,Python Programming,todo,todo,todo,1
FREDTHINK,Principles of Design Thinking,todo,todo,todo,1
FREFORLAN,Foreign Language,todo,todo,todo,1
FREIP,Introduction to Intellectual Property,todo,todo,todo,1
FRETRNDS,Emerging Technologies in ICT,todo,todo,todo,1
FRECD,Introduction to Compiler Design,todo,todo,todo,1
FRECLOUD,Distributed Systems & Cloud Computing,todo,todo,todo,1
FREAI,Fundamentals of Artificial Intelligence,todo,todo,todo,1
FREAI2,Advanced Artificial Intelligence,todo,todo,todo,1
FRECERT,Professional Certifications Review,todo,todo,todo,1
FRETECHNO,Technopreneurship,todo,todo,todo,1
ELPHP1,PHP Programming Module 1,todo,todo,todo,1
ELPHP2,PHP Programming Module 2,todo,todo,todo,1
ELDNET1,.NET Programming Module 1,todo,todo,todo,1
ELDNET2,.NET Programming Module 2,todo,todo,todo,1
ELDROID1,ANDROID Programming Module 1,todo,todo,todo,1
ELDROID2,ANDROID Programming Module 2,todo,todo,todo,1
ELCCNA1,"Enterprise Networking, Security and Automation",todo,todo,todo,1
ELCCNA2,Infrastructure Automation,todo,todo,todo,1
ELEMSYS,Embedded Systems & IoT,todo,todo,todo,1
ELAI,Fundamentals of Artificial Intelligence,todo,todo,todo,1
ELASI,ASI-UC Jumpstart Program,todo,todo,todo,1
ELBIZAN1,Business Analytics Module 1,todo,todo,todo,1
ELBIZAN2,Business Analytics Module 2,todo,todo,todo,1
ELPYTHON,Python Programming,todo,todo,todo,1
FREDTHINK,Principles of Design Thinking,todo,todo,todo,1
FREFORLAN,Foreign Language,todo,todo,todo,1
FREIP,Introduction to Intellectual Property,todo,todo,todo,1
FRETRNDS,Emerging Technologies in ICT,todo,todo,todo,1
FREPM,Introduction to Project Management,todo,todo,todo,1
FRECIS,Cloud Infrastructure Services,todo,todo,todo,1
FREISM,Information Storage Management,todo,todo,todo,1
FREDX,Introduction to Digital Transformation,todo,todo,todo,1
FRELEAN,Lean Startup Methodology,todo,todo,todo,1
FREKYI,Know-Your-Industry/Corporate Readiness,todo,todo,todo,1
FRECERT,Professional Certifications Review,todo,todo,todo,1
